,item_name,calories,protein,carbs,fat
0,Chicken Pot Pie Soup 12 ozl,301.510,22.150,31.460,13.55
1,Chicken Pot Pie Soup 8 ozl,201.007,14.767,20.973,9.033
2,Shanghai Chicken,758.908,34.330,79.815,37.832
3,Broccoli & Cauliflower,22.627,2.092,4.282,0.34700000000000003
4,Brown Rice,107.417,2.393,22.339,1.068
5,Stuffed Portabella w/Mornay Sauce,418.612,18.025,21.614,41.109
6,BBQ Sauce,51.786,0.000,13.464,0.0
7,Baby Spinach,6.521,0.811,1.029,0.129
8,Baked Ham,135.000,18.900,4.052,5.404
9,Balsamic Vinegar,37.620,0.210,7.280,0.0
10,Banana Pepper Rings,7.654,0.470,1.516,0.14200000000000002
11,Black Pepper,0.074,0.003,0.019,0.001
12,Canola Oil,112.500,0.000,0.000,14.063
13,Capicola,184.844,18.824,4.344,13.08
14,Chicken Salad Croissant,606.483,23.364,14.237,48.083
15,Chipotle Mayonnaise,214.029,0.288,1.076,26.953
16,Dill Pickle Spear,4.200,0.175,0.844,0.133
17,Extra Baked Ham,67.500,9.450,2.026,2.702
18,Extra Capicola,92.422,9.412,2.172,6.54
19,Extra Genoa Salami,147.988,7.144,1.076,18.18
20,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
21,Extra Grilled Chicken Strips,69.526,12.826,0.676,2.364
22,Extra Italian Meats,93.853,8.864,1.825,7.531
23,Extra Roast Beef,92.988,16.132,0.000,3.56
24,Extra Sliced Bacon,126.000,7.875,1.575,13.388
25,Extra Sliced Turkey,60.750,10.126,2.026,1.518
26,Extra Tuna Salad,147.381,13.349,0.840,11.453
27,Genoa Salami,295.976,14.288,2.152,36.36
28,Grated Parmesan Cheese,14.884,1.007,0.493,1.532
29,Grilled Chicken Breast,189.418,39.592,0.020,3.444
30,Half Baked Ham,67.500,9.450,2.026,2.702
31,Half Capicola,92.422,9.412,2.172,6.54
32,Half Chicken Tenders,212.674,12.667,12.667,15.049000000000001
33,Half Genoa Salami,147.988,7.144,1.076,18.18
34,Half Grilled Chicken Breast,94.709,19.796,0.010,1.722
35,Half Grilled Chicken Strips,69.526,12.826,0.676,2.364
36,Half Italian Meats,93.853,8.864,1.825,7.531
37,Half Roast Beef,92.988,16.132,0.000,3.56
38,Half Sliced Bacon,220.500,13.781,2.756,23.429000000000002
39,Half Sliced Turkey,60.750,10.126,2.026,1.518
40,Half Tuna Salad,147.381,13.349,0.840,11.453
41,Half White Sub Roll,128.000,4.000,26.000,0.5
42,Ham & Swiss on a Pretzel Bun,559.667,31.906,59.810,29.647999999999996
43,Hoagie Roll Half Whole Wheat,243.043,7.478,48.609,1.87
44,Hoagie Roll White Whole,256.000,8.000,52.000,1.0
45,Hoagie Roll Whole Wheat Whole,486.087,14.957,97.217,3.739
46,Honey Mustard,141.230,0.265,7.101,13.950000000000001
47,Hot Sauce,3.554,0.165,0.565,0.137
48,Italian Dressing,153.076,0.727,0.553,18.608999999999998
49,Italian Meats,187.705,17.728,3.650,15.062
54,Mayonnaise,189.000,0.000,0.000,23.626
55,Mustard Yellow,0.000,0.000,0.000,0.0
